"MISSION_DESCRIPTOR","MISSION_NAME","INSTITUTE","EVENT_ID","SAMPLE_ID","STATION","LATDEC","LONGDEC","YEAR","MONTH","DAY","TIME","DEPTH","QC","DATA_QUALITY","Chl_a_Holm-Hansen_F | Chlorophyll A","Chl_Fluor_Voltage | CHL-SENSOR insitu","conductivity_CTD | conductivity_CTD","O2_CTD_mLL | O2","O2_Winkler_Auto | O2","PAR | PAR","pH_CTD_nocal | pH","Phaeo_Holm-HansenF | Phaeophytin","Pressure | Pressure","Salinity_CTD | Salinity","Salinity_Sal_PSS | Salinity"
"74EQ24402","DY18402","BIO","004","511771","BBL_05",42.13531,-65.50965,2024,10,6,"109",156.93,"1","QC has been performed; element appears to be correct",,0.09319,3.63251,4.6694,,0.11638,7.958,,156.933,34.603,34.604
"74EQ24402","DY18402","BIO","004","511772","BBL_05",42.13531,-65.5097,2024,10,6,"109",156.45,"1","QC has been performed; element appears to be correct",,0.09344,3.63291,4.6678,,0.1164,7.958,,156.456,34.6046,
"74EQ24402","DY18402","BIO","004","511773","BBL_05",42.13532,-65.50978,2024,10,6,"109",156.91,"1","QC has been performed; element appears to be correct",,0.09444,3.63367,4.6634,4.652,0.1164,7.958,,156.911,34.608,
"74EQ24402","DY18402","BIO","004","511774","BBL_05",42.13557,-65.51112,2024,10,6,"112",152.57,"1","QC has been performed; element appears to be correct",,0.09568,3.62357,4.6977,,0.1164,7.96,,152.578,34.5648,
"74EQ24402","DY18402","BIO","004","511775","BBL_05",42.13579,-65.51245,2024,10,6,"116",100.29,"1","QC has been performed; element appears to be correct",0.02111,0.13481,3.42763,5.3151,,0.11642,7.951,,100.292,33.7471,
"74EQ24402","DY18402","BIO","004","511775","BBL_05",42.13579,-65.51245,2024,10,6,"116",100.29,"0","No quality control (QC) has been performed on this element",,,,,,,,0.04942,,,
"74EQ24402","DY18402","BIO","004","511776","BBL_05",42.13586,-65.51286,2024,10,6,"119",78.32,"1","QC has been performed; element appears to be correct",0.03518,0.15424,3.3551,5.5798,,0.11645,7.949,,78.327,33.3244,
"74EQ24402","DY18402","BIO","004","511776","BBL_05",42.13586,-65.51286,2024,10,6,"119",78.32,"0","No quality control (QC) has been performed on this element",,,,,,,,0.07062,,,
"74EQ24402","DY18402","BIO","004","511777","BBL_05",42.13586,-65.51289,2024,10,6,"119",77.95,"1","QC has been performed; element appears to be correct",,0.1692,3.35423,5.5814,,0.11649,7.949,,77.957,33.3249,
"74EQ24402","DY18402","BIO","004","511778","BBL_05",42.13587,-65.5129,2024,10,6,"119",78.53,"1","QC has been performed; element appears to be correct",,0.15225,3.35039,5.5927,,0.11646,7.949,,78.536,33.3083,
